Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
0.0,0.0,0.0,0.0,0.0,-0.0146040532923678,0.0,0.0374387413158412,1.7938120347345363,1.1102230246251566e-17,8
0.0667778100659474,0.0,0.0,-2.220446049250313e-17,0.0,-2.220446049250313e-16,0.0,0.07957299706339,0.0,1.1102230246251566e-17,8
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.1243858221237137,0.0,0.0,9
0.0,0.0,0.0,0.0,0.1086875857973729,-2.220446049250313e-16,0.0,0.0,0.0,0.0098009663972748,8
-1.6653345369377347e-17,0.0,0.0,-0.0017624638067181,0.0,-2.220446049250313e-16,0.0,0.0887742913461386,0.0,0.0,9
-0.0061859294225966,0.0,0.0,0.0,0.0,-1.3322676295501878e-16,0.0,0.0529271217289831,0.0,0.0375910881192284,8
0.0,0.0,0.0,0.0,0.0792756821529743,-2.220446049250313e-16,4.440892098500626e-17,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0677355611908383,0.0055788813912233,8.881784197001253e-17,0.0,1.1102230246251566e-17,8
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0579935914917241,0.0,0.0,9
0.0,0.005180675407691,0.0,0.0003270636182423,0.0,0.0562879943450013,4.440892098500626e-17,-0.0068258782141704,0.0,0.0,7
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0478791200369019,0.0,0.0,9
0.0,0.0,0.0,-0.0006308875545948,0.0,0.0316614840960126,0.0,4.440892098500626e-17,0.0,0.0163190656735432,8
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0434911385835443,0.0,1.1102230246251566e-17,9
0.0,0.0,-0.0364027131689896,0.0,0.0,-2.220446049250313e-16,0.0,0.0530642638604275,0.0,0.0247172973459474,8
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,4.440892098500626e-17,0.0,0.0335443829771834,9
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0332440688076653,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0331717931773933,0.0,0.0,9
-5.551115123125783e-18,-0.0029024371983034,0.0,0.0,0.0,0.0357644398071145,0.0,0.0,0.0,0.0,9
-1.1102230246251566e-17,0.0,0.0,0.0003533272070342,0.0,-2.220446049250313e-16,0.0,0.0318107286581846,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0290501561814516,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0288822936033653,9
0.0,0.0,0.0274659464092522,-2.220446049250313e-17,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0273492279780966,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0273344467039895,9
0.0,0.0,0.0,0.0,0.0,0.0257926119955397,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0244583319111532,9
-5.551115123125783e-18,-0.0069575535712098,0.0,0.0177427611253532,0.0,-2.220446049250313e-16,0.0138201279089225,4.440892098500626e-17,0.0,-0.0014662876029004,8
-1.6653345369377347e-17,0.0,0.0,0.027455002532066,0.0,-0.0078973696261533,0.0,8.881784197001253e-17,0.0,0.0,9
-0.0011340214123942,0.0,0.0,0.0,0.0,0.0190186012012824,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,-0.0037449869673936,0.0176712928285936,-2.220446049250313e-16,0.0038428638327431,0.0,0.0,1.1102230246251566e-17,8
0.0,-0.0008620254519994,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0183471449409186,9
0.0130429277833677,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,-0.0028045244173203,0.0,0.0057224594473859,8
0.0,0.0,0.0,-0.0035790294221674,-0.0103373995593551,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0294386628883799,9
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,0.0,0.0,0.0126068964736878,9
0.0,0.0,0.0,0.0,0.0122967128192496,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0043307733919831,0.0,0.0079622826931979,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,8
-5.551115123125783e-18,0.0110141639962582,0.0,0.0,0.0,0.0010145807371541,0.0,8.881784197001253e-17,0.0,0.0,8
0.0,0.0,0.0,0.0008888613090502,0.0,0.0106436979536333,0.0,0.0,0.0,0.0,8
0.0114901603318426,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,1.1102230246251566e-17,9
0.0,0.0129782834201548,0.0,0.0,-0.0347660054033779,-2.220446049250313e-16,0.0,0.0,0.0,0.0324535310752343,8
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.010187206521603,9
0.0,0.008573058261232,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,-2.220446049250313e-17,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0085498050763028,9
0.0,0.0,0.0,0.0,0.0084001851231419,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.006003906737942,0.0023164289632595,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0012214998480269,0.0,0.006417307726646,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,8
0.0,0.0075574588644046,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
-3.0028868411680065e-05,0.0,0.0,0.0070489883257933,0.0,-1.7763568394002506e-16,0.0,0.0,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0070071184215869,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0037004806514246,4.440892098500626e-17,0.0,0.0027701382089943,8
0.0,0.0063831320533088,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0062442200880271,0.0,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.001051755318312,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0049219171684582,8
-5.551115123125783e-18,0.0001962142049721,0.0,0.0054044996998647,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,8
0.0,0.0002267351825842,0.0,0.0,0.0009357627572655,-2.220446049250313e-16,0.0,0.0,0.0,0.0042460425249349,7
0.0,0.0,0.0,0.0053748828736423,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
-1.6653345369377347e-17,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,0.0052121178766378,9
-1.1102230246251566e-17,0.0051237994920299,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0050809810041867,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0049346815575581,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0048888444893454,0.0,4.440892098500626e-17,0.0,0.0,9
0.0047772553967155,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,0.0,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0046834270368465,0.0,0.0,9
0.0,0.0045951027771139,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0045224390967462,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,1.1102230246251566e-17,9
0.0044933634568121,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,1.1102230246251566e-17,10
0.0,0.0100154404854517,0.0,-0.0005974032206601,0.0,-0.00519114896984,0.0,0.0,0.0,0.0,9
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.00405896204137,0.0,0.0,-1.1102230246251566e-17,9
0.0,0.0040289531528014,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0040204958670207,-2.220446049250313e-17,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.003911105791431,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0038122649174399,9
-0.0089081179427951,0.0,0.0,0.0126721567996058,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0036615383925197,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0020584525684753,0.0,-2.220446049250313e-16,0.0015339783359499,0.0,0.0,2.220446049250313e-17,8
0.0,0.0,0.0,0.0,0.0,0.003535181074055,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.003528510546143,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0033768574444833,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,0.0031223752413056,0.0,0.0,9
0.0,0.0,0.0,0.0028954668961989,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
-2.220446049250313e-17,0.0,0.0,0.0028357570547446,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
-5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0028219615625284,0.0,4.440892098500626e-17,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,-0.0059140009289664,0.0,-2.220446049250313e-16,-0.0009394263376548,0.0,0.0,0.0096423448100515,9
0.0016921965606629,0.0,0.0,0.0010932112714344,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0026109180493938,0.0,4.440892098500626e-17,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.0025163328027257,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0024865591686914,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,-0.0004388009625944,0.0,0.0028652578240557,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0020834468869222,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,4.440892098500626e-17,0.0,0.0,9
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0020383389039776,0.0,0.0,9
0.0019704162378575,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0018956142875323,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0018356403626477,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.01325158912554,0.0,-2.220446049250313e-16,-0.0114179525158861,0.0,0.0,0.0,9
0.0018118461444314,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0017412169100693,9
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,4.440892098500626e-17,0.0,0.001731268647679,9
0.001688107022399,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,2.220446049250313e-17,10
0.0015218169055504,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,0.0,0.0,-1.1102230246251566e-17,10
-1.1102230246251566e-17,1.1102230246251566e-17,0.0,0.0013350458097963,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,1.1102230246251566e-17,9
0.0,0.001322753727035,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,-0.0005587736959386,0.0,-2.220446049250313e-16,0.0,0.0017388567213508,0.0,0.0,9
-1.6653345369377347e-17,0.0011734341570082,0.0,0.0,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,0.0,9
0.0,0.0,0.0,0.0002782902791189,0.0,-2.220446049250313e-16,0.0,0.0008680379874654,0.0,0.0,8
0.0,0.0,0.0,0.0011364613261919,0.0,-1.7763568394002506e-16,0.0,0.0,0.0,-1.1102230246251566e-17,9
0.0,0.0,0.0,0.0010138662709528,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0009252497693402,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0008419081562027,0.0,-1.1102230246251566e-17,9
-5.551115123125783e-18,0.0,0.0,0.000754109029456,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-7.969557717738552e-05,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0006677032578664,4.440892098500626e-17,0.0,1.1102230246251566e-17,9
0.0036801488123387,0.0,0.0,0.0014376570064427,0.0,-2.220446049250313e-16,-0.0045357054681115,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0005669957353392,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,1.1102230246251566e-17,9
0.0,0.0,0.0,0.0005635128710858,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9
0.0004922385180261,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.000359942197661,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
-1.1102230246251566e-17,0.0,0.0,0.0003559865419519,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0002935407548382,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,2.220446049250313e-17,9
0.0,0.0,0.0,0.0002484283123028,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,0.0,9
0.0,0.0,0.0048153190016026,0.0,0.0,-1.7763568394002506e-16,0.0,4.440892098500626e-17,0.0,-0.00458519052794,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0001809730372998,9
-5.551115123125783e-18,0.0,0.0,4.7766677979455e-05,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-17,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,1.1102230246251566e-17,10
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.7763568394002506e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-16,0.0,8.881784197001253e-17,0.0,-1.1102230246251566e-17,10
