name,model_type,metric_type,metric_value,train_time
99_CatBoost,CatBoost,logloss,0.5759763448131376,66.75
100_CatBoost,CatBoost,logloss,0.5797816293951522,58.8
101_CatBoost,CatBoost,logloss,0.5662593851519733,56.78
102_CatBoost,CatBoost,logloss,0.546840768193102,52.04
103_ExtraTrees,Extra Trees,logloss,0.6336042099565224,46.57
104_LightGBM,LightGBM,logloss,0.5896495290050362,27.8
105_RandomForest,Random Forest,logloss,0.6614983839059013,50.68
106_RandomForest,Random Forest,logloss,0.5608807759159951,50.48
107_ExtraTrees,Extra Trees,logloss,0.6443483130173868,45.76
108_LightGBM,LightGBM,logloss,0.6002789808190195,28.05
109_RandomForest,Random Forest,logloss,0.6533802354263439,48.36
110_ExtraTrees,Extra Trees,logloss,0.641075111095669,47.43
Ensemble,Ensemble,logloss,0.5101718695463664,63.69
