,0
315,GATS6c
316,MIC5
317,SpAD_A
318,VE3_Dzpe
319,C3SP3_ratio_VR1_A
320,MATS6i
321,ATSC6are
322,ATS5dv
323,ATSC2p
324,GATS5m_sum_ATSC6i
325,ATSC0s
326,ATSC1Z
327,MATS7dv
328,BCUTpe-1l
329,ATS8p
330,MATS1dv_sum_ATSC6i
331,VSA_EState3
332,AXp-6d
333,Xpc-4d
334,ABC
335,VSA_EState9
336,LabuteASA
337,ATSC2Z
338,MID_O
339,ATS7Z
340,AATS3are
341,GATS3s
342,Xp-6dv
343,MPC6
344,AATSC7Z
345,nRot
346,GATS7dv
347,Xch-5d
348,AETA_beta
349,ATSC0i
350,AATS8pe
351,ATSC7dv_ratio_BIC0
352,CIC4
353,MID_h
354,ETA_dBeta
355,BCUTi-1h
356,VR1_Dzse
357,ETA_dPsi_A
358,MATS1dv
359,ATSC6i_multiply_SpMax_A
360,nHBDon
361,GATS4i
362,BCUTm-1h
363,MATS4v
364,EState_VSA9
365,AATS0p
366,BalabanJ
367,NssssC_multiply_SM1_Dzse
368,Mare
369,AXp-7dv
370,ATSC7m
371,MIC1
372,GATS1v
373,ATSC7d
374,AATS7s
375,AATSC7pe
376,Xc-5dv
377,AXp-4d
378,ATS1m
379,EState_VSA4
380,WPol_multiply_AETA_eta_B
381,ATSC7are
382,SpMAD_D
383,NdsCH
384,AXp-0dv
385,SpAbs_Dzv
386,MATS4d
387,ETA_psi_1
388,VR1_Dzpe
389,C1SP2
390,AXp-2dv
391,VAdjMat
392,GATS7pe
393,ATS4p
394,TMWC10
395,BertzCT
396,ATSC3pe
397,LogEE_Dzp
398,nF
399,NsssN
400,AATSC0dv
401,ATSC6d
402,SsssCH
403,mZagreb2
404,ATS3i
405,AATS5p
406,AATS3Z
407,ATS5Z
408,ATSC7p
409,MATS3are
410,ATSC3m
411,VE3_Dzm
412,VE1_Dzm
413,ATSC3p
414,VR1_DzZ
415,ATSC6p
416,ATSC7s
417,LogEE_Dzm
418,AATS1v
419,SpMAD_Dzm
420,BCUTd-1l
421,ATSC8p
422,BCUTd-1h
423,NssssC
424,AATS1are
425,BCUTdv-1l
426,SM1_Dzv
427,AATS4are
428,NaaaC
429,AATS7are
430,NaasC
431,AATS1p
432,ETA_eta_RL
433,MATS2m
434,MATS5Z
435,MATS1are
436,VR1_Dzm
437,AATSC2c
438,SM1_Dzpe
439,AATSC4c
440,SpAD_Dzpe
441,SaasN
442,ATSC7i
443,SpAD_Dzp
444,MATS3se
445,SpMAD_Dzv
446,NaaNH
447,NssCH2
448,SpMAD_Dzp
449,MATS6Z
450,ATSC3i
451,MATS6pe
452,ATSC6pe
453,ATSC5pe
454,GATS5i
455,SaaN
456,ATSC0are
457,ATSC1are
458,ATSC3are
459,MATS3pe
460,ATSC5are
461,ATSC5m
462,NtCH
463,GATS7p
464,GATS3i
465,SM1_Dzi
466,ATSC3s
467,BCUTp-1h
468,BCUTare-1l
469,ATSC1dv
470,VE2_Dzi
471,AATS1i
472,AXp-5d
473,AATS4i
474,GATS4Z
475,GATS6p
476,ATSC0dv
477,ATSC0c
478,ATSC1c
479,GATS8v
480,AXp-2d
481,ATSC8c
482,VE3_DzZ
483,AXp-0d
484,AXp-7d
485,AMID_N
486,GATS3v
487,MID
488,Si
489,Xp-6d
490,GATS6m
491,AMID_C
492,MID_N
493,Xp-0d
494,Xpc-5dv
495,ATSC2s
496,Sare
497,AATS4pe
498,ATSC8d
499,AATS2pe
500,SpAbs_Dzpe
501,ATSC1m
502,AATS2v
503,SddsN
504,NdssC
505,BCUTse-1h
506,AATS7v
507,AATS8v
508,AETA_eta_R
509,LogEE_DzZ
510,SpAD_DzZ
511,AATS5se
512,SpDiam_DzZ
513,NsCH3
514,BCUTv-1h
515,AATS6p
516,AATS7p
517,AATS8p
518,AATS0i
519,LogEE_Dzse
520,ATSC5dv
521,SpMAD_Dzse
522,SpDiam_Dzse
523,VR3_Dzv
524,ATSC3d
525,ATSC4d
526,SpAbs_DzZ
527,LogEE_Dzpe
528,ATSC2m
529,JGI1
530,ATSC0m
531,nH
532,ATS1p
533,ATS0p
534,nS
535,ATS8are
536,nBr
537,nX
538,ATS7are
539,ATS1dv
540,ATS2dv
541,ATS6are
542,ATS6dv
543,ATS7dv
544,ATS2are
545,nHetero
546,nHeavyAtom
547,AATSC0d
548,nAtom
549,ABCGG
